domain,domain_name,siteID,site_name,state,biome_types,latitude,longitude,elevation_m,MAT_C,MAP_mm,Temp_s,Prec_s,started_year,end_year,duration,N,scale,scale1,div,sta,div_p,sta_p
D01,Northeast,BART,Bartlett Experimental Forest,NH,"Deciduous Forest, Evergreen Forest, Mixed Forest",44.06388,-71.28731,232,4.8,1300,9658,10,2014,2020,7,26,alpha,a,1.132819044,0.4664138,-0.886807359,-0.286174029
D01,Northeast,HARV,Harvard Forest,MA,"Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands",42.5369,-72.17266,351,7.2,1120,9364,8,2014,2020,7,30,alpha,a,2.012837397,0.635398037,0.014753454,-0.077896433
D02,Mid-Atlantic,BLAN,Blandy Experimental Farm,VA,"Deciduous Forest, Pasture/Hay",39.06026,-78.07164,183,11.7,966,8544,15,2015,2020,6,13,alpha,a,2.074094933,0.946109725,0.105135768,0.293036211
D02,Mid-Atlantic,SCBI,Smithsonian Conservation Biology Institute,VA,"Deciduous Forest, Evergreen Forest, Pasture/Hay",38.89292,-78.1395,361,11.2,1020,8428,15,2014,2020,7,27,alpha,a,2.307366875,0.77115172,0.332906558,0.108682321
D02,Mid-Atlantic,SERC,Smithsonian Environmental Research Center,MD,"Cultivated Crops, Deciduous Forest",38.89008,-76.56001,15,13.1,1072,8441,13,2015,2019,5,31,alpha,a,2.226191633,0.749342229,0.256843002,0.103719468
D03,Southeast,DSNY,Disney Wilderness Preserve,FL,"Pasture/Hay, Woody Wetlands",28.12504,-81.4362,15,22.4,1208,4299,51,2014,2019,6,15,alpha,a,2.268252414,0.943557424,0.331201936,0.389084787
D03,Southeast,JERC,Jones Ecological Research Center,GA,"Cultivated Crops, Deciduous Forest, Evergreen Forest, Mixed Forest",31.19484,-84.46861,44,19.3,1326,6292,23,2015,2019,5,31,alpha,a,2.656983253,0.767886669,0.699137669,0.17105517
D03,Southeast,OSBS,Ordway-Swisher Biological Station,FL,"Emergent Herbaceous Wetlands, Evergreen Forest, Woody Wetlands",29.68927,-81.99343,45,20.3,1313,5295,41,2014,2019,6,17,alpha,a,1.724384686,0.567724866,-0.22829182,-0.017280197
D04,Atlantic Neotropical,GUAN,Guanica Forest,PR,Evergreen Forest,17.96955,-66.8687,143,25.9,916,1154,55,2015,2019,5,19,alpha,a,1.523478613,0.214611197,-0.380344406,-0.280395705
D04,Atlantic Neotropical,LAJA,Lajas Experimental Station,PR,"Cultivated Crops, Grassland/Herbaceous, Pasture/Hay",18.02125,-67.0769,24,25.1,1474,1180,45,2016,2019,4,30,alpha,a,1.05713904,0.743318983,-0.884443183,0.19870128
D05,Great Lakes,STEI,Steigerwaldt Land Services,WI,"Deciduous Forest, Mixed Forest, Woody Wetlands",45.50894,-89.58637,481,4.4,798,11074,45,2015,2019,5,32,alpha,a,2.122167972,0.683399996,0.131617223,-0.036730855
D05,Great Lakes,TREE,Treehaven,WI,"Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands",45.49369,-89.58571,472,4.5,808,11084,44,2015,2019,5,29,alpha,a,2.307572635,0.713465308,0.316844947,-0.006311407
D05,Great Lakes,UNDE,UNDERC,MI,"Deciduous Forest, Mixed Forest, Woody Wetlands",46.23388,-89.53725,518,3.7,850,10892,37,2014,2019,6,27,alpha,a,2.032544838,0.639125377,0.035741573,-0.092429377
