variables,descriptions
domain,NEON domain
domain_name,domain name
siteID,the id of sites
site_name,site name
state,US state abbreviations
latitude,latitude
longitude,longitude
elevation_m,elevation_m
MAT_C,mean annual temperature (°„C)
MAP_mm,mean annual precipitation (mm)
Temp_s,temperature seasonality (sd*100)
Prec_s,precipitation seasonality (cv)
started_year,the first year data collected in this study
end_year,the last year data collected in this study
duration,the duration of data collection  in this study
no.plot,number of plots
alpha_div,alpha richness
beta1,beta diversity within-plots
gamma_div,gamma richness
beta2,beta diversity across-plots
tau_div,tau richness
spe_sta,species stability 
spe_asyn,species asynchrony
alpha_sta,alpha stability 
spa_asyn1,beta stability across-quadrat
gamma_sta,gamma stability 
spa_asyn2,beta stability 2 across-plot
tau_sta,tau stability 
slope_alpha_sta~alpha_div,the slopes of the regression models in alpha diversity to alpha stability
slope_spa_asyn1~beta1,the slopes of the regression models in beta diversity to beta stability across-quadrat
slope_gamma_sta~gamma_div,the slopes of the regression models in gamma diversity to gamma stability
