no.,domainID,domain_name,siteID,site_name,state,MAT_C,MAP_mm,Temp_s,Prec_s,started_year,end_year,duration,plotID,latitude,longitude,elevation_m,nlcdClass,alpha_div,beta_div1,gamma_div,spe_sta,spe_asy,alpha_sta,spa_asy1,gamma_sta
1,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_001,44.047077,-71.306658,468.8,mixedForest,1.018073426,1.225671167,2.243744593,-0.178510315,1.182627653,1.004117337,0.533086789,1.537204126
2,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_002,44.035081,-71.27285,550.8,deciduousForest,0.609377297,1.1082742,1.717651497,-0.042717144,0.321247506,0.278530362,0.46615567,0.744686031
3,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_003,44.055252,-71.263154,439.5,deciduousForest,1.511982576,1.085402057,2.597384633,-0.304527981,0.831366358,0.526838377,0.60376962,1.130607997
4,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_004,44.041571,-71.28692,526.4,mixedForest,0.9234082,0.980829253,1.904237453,0.177322718,0.431347315,0.608670033,0.634638419,1.243308452
5,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_005,44.05462,-71.282199,304.9,mixedForest,1.349926717,1.258040026,2.607966743,0.121977785,0.498702413,0.620680197,0.541821665,1.162501863
6,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_006,44.060511,-71.310914,432.7,deciduousForest,0.818835396,1.063895852,1.882731247,-0.170935487,0.398239059,0.227303572,0.369823539,0.597127111
7,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_007,44.049696,-71.298487,388.4,mixedForest,1.425686763,0.755537473,2.181224236,0.230606024,0.401242151,0.631848175,0.437777442,1.069625617
8,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_011,44.050006,-71.296275,370.1,mixedForest,1.173145341,1.224749932,2.397895273,0.413016889,0.373191087,0.786207976,0.527004094,1.31321207
9,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_012,44.046089,-71.316317,558.9,deciduousForest,1.349926717,1.008228227,2.358154944,0.288881116,0.400110061,0.688991177,0.434749951,1.123741129
10,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_013,44.041738,-71.277599,414.8,deciduousForest,1.15643186,1.117165697,2.273597556,0.207618798,0.280823039,0.488441837,0.666309808,1.154751646
11,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_015,44.042903,-71.273126,439.2,mixedForest,0.710846758,1.255266099,1.966112856,-0.090029106,0.342335284,0.252306179,0.26570758,0.518013759
12,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_016,44.051257,-71.288457,316.8,mixedForest,1.57676713,1.102295534,2.679062664,0.052951768,0.366564082,0.41951585,0.207206928,0.626722778
13,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_018,44.058474,-71.277857,315.5,mixedForest,0.985283603,0.897447644,1.882731247,0.391772974,0.188265397,0.58003837,0.315197996,0.895236366
14,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_019,44.069363,-71.286142,243.2,mixedForest,1.843945222,1.077679079,2.921624301,-0.015785973,0.677421975,0.661636002,0.535819428,1.19745543
15,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_023,44.049319,-71.263643,503,evergreenForest,1.349926717,0.923670839,2.273597556,0.247965623,0.74103277,0.988998393,1.509827116,2.498825509
16,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_024,44.052777,-71.263782,434.4,evergreenForest,0.901901994,0.841067311,1.742969305,-0.269453754,0.700551037,0.431097282,0.316140566,0.747237848
17,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_025,44.059386,-71.313142,542.8,evergreenForest,0.810930216,1.286210903,2.097141119,-0.131855664,0.385736886,0.253881221,0.24059805,0.494479272
18,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_026,44.061262,-71.313922,512.9,evergreenForest,1.32175584,0.875468737,2.197224577,-0.177263493,0.493135057,0.315871564,0.725461173,1.041332737
19,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_027,44.057947,-71.261745,427.2,evergreenForest,1.133703608,0.832409248,1.966112856,0.155161284,0.611075503,0.766236787,0.802900768,1.569137555
20,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_028,44.0541,-71.3065,485.7,evergreenForest,1.221672381,0.909954913,2.131627295,-0.304597216,0.587723482,0.283126266,0.384990796,0.668117063
21,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_029,44.057747,-71.288308,297.4,evergreenForest,0.985283603,1.057790294,2.043073898,0.098761362,0.24366952,0.342430881,0.428680135,0.771111016
22,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_031,44.055533,-71.305095,414,evergreenForest,1.272965676,1.098612289,2.371577964,-0.103788396,0.409695216,0.30590682,0.292679474,0.598586294
23,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_036,44.06208,-71.285876,293.2,deciduousForest,0.794929875,1.020360092,1.815289967,0.295364529,0.086224158,0.381588687,0.326097544,0.707686232
24,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_062,44.057361,-71.305891,391.8,deciduousForest,0.237328186,0.861284102,1.098612289,-0.54874727,0.108674309,-0.44007296,0.366225761,-0.073847199
25,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_066,44.056764,-71.310402,502.6,mixedForest,0.786832665,1.361601749,2.148434413,-0.290078033,0.504433074,0.214355041,0.498210294,0.712565335
26,D01,Northeast,BART,Bartlett Experimental Forest,NH,4.8,1300,9658,10,2014,2020,7,BART_068,44.052429,-71.309472,553.4,mixedForest,0.628608659,1.209670825,1.838279485,-0.433207676,0.547051826,0.11384415,0.7031414,0.816985549
